"record","time_s","phase","type","message","details_json","obstacle_id","peak_closing_speed_m_s","total_normal_impulse_Ns","peak_tick_impulse_Ns","estimated_peak_load_N","fender_coverage","bottomed_out","penalty_s","contact_duration_s"
"event","29.383333333332946","approach","penalty","North quay: +5s — contact speed above 0.08 m/s","{""obstacleId"":""north-quay"",""seconds"":5,""reason"":""Contact speed threshold; fenders are not collision immunity""}","","","","","","","","",""
"event","30.64999999999954","approach","engines.change","engines: {""port"":0,""starboard"":0}","{""port"":0,""starboard"":0}","","","","","","","","",""
"event","31.399999999999498","approach","pause.change","pause: {""paused"":true}","{""paused"":true}","","","","","","","","",""
"telemetry","0","","snapshot","","{""state"":{""x"":0,""y"":-22,""heading"":0,""vx"":0,""vy"":0,""yaw"":0,""port"":0,""starboard"":0,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":0,""starboard"":0,""rudder"":0},""weather"":{""speed"":2,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":false,""target"":false,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":0,""phase"":""approach"",""progress"":{""elapsed"":0,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","1.0000000000000013","","snapshot","","{""state"":{""x"":0.003040551008666052,""y"":-22.00000010853963,""heading"":0.00022579461229684878,""vx"":0.005607757778478983,""vy"":-3.9067015507587273e-7,""yaw"":0.00042010376180447287,""port"":0,""starboard"":0,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":0,""starboard"":0,""rudder"":0},""weather"":{""speed"":2,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":false,""target"":false,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":-0.00008001449982874862,""phase"":""approach"",""progress"":{""elapsed"":1.0000000000000013,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","1.9999999999999978","","snapshot","","{""state"":{""x"":0.008354739895376434,""y"":-22.000000319543783,""heading"":0.0006333533686020948,""vx"":0.004379794737771315,""vy"":2.3627496411585186e-7,""yaw"":0.00034577075897250677,""port"":0,""starboard"":0,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":0,""starboard"":0,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":false,""target"":true,""remaining"":2.566666666666668}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":-0.00021986157080265274,""phase"":""approach"",""progress"":{""elapsed"":1.9999999999999978,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","2.9999999999999942","","snapshot","","{""state"":{""x"":0.011954002200663777,""y"":-21.99999955588951,""heading"":0.0009251315033206893,""vx"":0.0029390232886062893,""vy"":0.0000012650881915056077,""yaw"":0.0002452150636717356,""port"":0,""starboard"":0,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":0,""starboard"":0,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":false,""target"":true,""remaining"":1.5666666666666718}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":-0.0003145789985802404,""phase"":""approach"",""progress"":{""elapsed"":2.9999999999999942,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","3.9999999999999907","","snapshot","","{""state"":{""x"":0.01437054989044991,""y"":-21.99999782375108,""heading"":0.0011320693269055502,""vx"":0.0019742838567135255,""vy"":0.000002150173406747282,""yaw"":0.0001739248250891481,""port"":0,""starboard"":0,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":0,""starboard"":0,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":false,""target"":true,""remaining"":0.5666666666666724}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":-0.0003781723691679528,""phase"":""approach"",""progress"":{""elapsed"":3.9999999999999907,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","4.999999999999988","","snapshot","","{""state"":{""x"":0.01599444456477085,""y"":-21.999995315848658,""heading"":0.0012788518346012437,""vx"":0.0013271584084761235,""vy"":0.0000028181576341039824,""yaw"":0.00012337163591673086,""port"":0,""starboard"":0,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":0,""starboard"":0,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":-0.00042090646294271446,""phase"":""approach"",""progress"":{""elapsed"":4.999999999999988,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","5.999999999999984","","snapshot","","{""state"":{""x"":0.01711260726668508,""y"":-21.980525035863863,""heading"":0.0013829737648241064,""vx"":0.0009981885217905182,""vy"":0.07759495280730613,""yaw"":0.00008751790528640021,""port"":0.4627072212445385,""starboard"":0.4627072212445385,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":null,""berthBearing"":-0.00045056265263670824,""phase"":""approach"",""progress"":{""elapsed"":5.999999999999984,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
